ticker,source_etf,country_code,region,section,weight,shares,price
MSTR,WLS,UW,,Information Technology,0.079635,259.192,320.29
MRVL,WLS,UW,,Information Technology,0.074729,859.091,90.68
MSI,WLS,UN,,Information Technology,0.072958,166.197,457.63
6861,WLS,JT,,Information Technology,0.071005,186.864,60440.0
SNOW,WLS,UN,,Information Technology,0.070482,293.114,250.67
GLW,WLS,UN,,Information Technology,0.065461,782.677,87.19
ADSK,WLS,UW,,Information Technology,0.063546,213.471,310.32
TEL,WLS,UN,,Information Technology,0.062935,294.918,222.46
NET,WLS,UN,,Information Technology,0.061439,289.875,220.95
2454,WLS,TT,,Information Technology,0.058879,1395.629,1345.0
2308,WLS,TT,,Information Technology,0.056456,1801.667,999.0
CSU,WLS,CT,,Information Technology,0.053746,19.884,3949.97
NXPI,WLS,UW,,Information Technology,0.053469,251.736,221.42
ROP,WLS,UW,,Information Technology,0.053214,107.078,518.07
FTNT,WLS,UW,,Information Technology,0.052573,635.873,86.19
INFO,WLS,IS,,Information Technology,0.050189,3064.034,1514.9
DDOG,WLS,UW,,Information Technology,0.049173,312.435,164.07
WDAY,WLS,UW,,Information Technology,0.048658,212.933,238.22
DELL,WLS,UN,,Information Technology,0.045848,306.474,155.95
STX,WLS,UW,,Information Technology,0.044932,211.276,221.7
IFX,WLS,GY,,Information Technology,0.044725,1225.793,32.885
MPWR,WLS,UW,,Information Technology,0.043417,46.22,979.25
6702,WLS,JT,,Information Technology,0.04222,1741.586,3856.0
005935,WLS,KP,,Information Technology,0.040978,815.975,74400.0
WDC,WLS,UW,,Information Technology,0.039679,345.561,119.7
6701,WLS,JT,,Information Technology,0.039634,1310.898,4809.0
FICO,WLS,UN,,Information Technology,0.038733,23.63,1708.77
MCHP,WLS,UW,,Information Technology,0.033374,528.268,65.86
HPE,WLS,UN,,Information Technology,0.032893,1306.283,26.25
CTSH,WLS,UW,,Information Technology,0.032312,490.948,68.61
6981,WLS,JT,,Information Technology,0.031932,1787.142,2842.0
6146,WLS,JT,,Information Technology,0.030092,89.149,53690.0
ZS,WLS,UW,,Information Technology,0.029607,97.916,315.21
601138,WLS,C1,,Information Technology,0.028751,3214.787,66.41
SMCI,WLS,UW,,Information Technology,0.02844,511.342,57.98
CLS,WLS,CT,,Information Technology,0.028289,113.412,364.51
ALAB,WLS,UW,,Information Technology,0.028214,130.472,225.43
KEYS,WLS,UN,,Information Technology,0.02803,170.779,171.1
PSTG,WLS,UN,,Information Technology,0.027734,308.818,93.62
TCS,WLS,IS,,Information Technology,0.027679,845.309,3028.3
ASM,WLS,NA,,Information Technology,0.027463,45.484,544.2
NOKIA,WLS,FH,,Information Technology,0.026834,5328.371,4.539
6762,WLS,JT,,Information Technology,0.026319,1892.946,2211.5
4901,WLS,JT,,Information Technology,0.026034,1169.439,3541.0
TDY,WLS,UN,,Information Technology,0.025631,46.353,576.44
MDB,WLS,UQ,,Information Technology,0.025145,79.078,331.48
NBIS,WLS,UW,,Information Technology,0.024812,195.009,132.64
DELTA,WLS,TB,,Information Technology,0.024575,4669.058,179.5
7751,WLS,JT,,Information Technology,0.024571,883.826,4422.0
2382,WLS,TT,,Information Technology,0.024296,2599.2,298.0
HPQ,WLS,UN,,Information Technology,0.024237,936.846,26.97
CYBR,WLS,UW,,Information Technology,0.024105,49.459,508.07
HEXAB,WLS,SS,,Information Technology,0.024032,2070.213,115.2
CAP,WLS,FP,,Information Technology,0.023214,169.618,123.35
TEAM,WLS,UW,,Information Technology,0.023164,163.45,147.74
ERICB,WLS,SS,,Information Technology,0.023102,2840.204,80.72
NTAP,WLS,UW,,Information Technology,0.022998,199.271,120.31
PTC,WLS,UW,,Information Technology,0.02295,118.604,201.72
FSLR,WLS,UW,,Information Technology,0.022785,101.377,234.3
TER,WLS,UW,,Information Technology,0.02227,159.902,145.19
DSY,WLS,FP,,Information Technology,0.022161,677.988,29.46
HUBS,WLS,UN,,Information Technology,0.022051,50.747,452.99
CIEN,WLS,UN,,Information Technology,0.021869,139.344,163.61
CRDO,WLS,UW,,Information Technology,0.021589,148.901,151.15
FLEX,WLS,UW,,Information Technology,0.02125,371.503,59.63
688041,WLS,C1,,Information Technology,0.021165,650.814665,241.49
